t,q0,q1,q2,q3,b1,b2,b3
1.4200000000,0.9999921954,0.0026942587,0.0027453701,0.0009017238,0.0001677386,-0.0001315845,-0.0003173812
1.4300000000,0.9999922926,0.0031141735,0.0022924427,0.0006791778,0.0001181118,-0.0000758627,-0.0002896844
1.4400000000,0.9999959373,0.0025309853,0.0005329456,0.0011980900,0.0001880758,0.0001383226,-0.0003536944
1.4500000000,0.9999937539,0.0019580582,0.0008769888,0.0028087311,0.0002579998,0.0000959512,-0.0005476122
1.4600000000,0.9999930016,0.0022907912,0.0016487510,0.0024557398,0.0002214382,0.0000030682,-0.0005017824
1.4700000000,0.9999922764,0.0019908355,0.0014935522,0.0030418621,0.0002576596,0.0000212385,-0.0005722211
1.4800000000,0.9999931414,0.0029766563,0.0019701230,0.0009875310,0.0001353042,-0.0000347536,-0.0003203718
1.4900000000,0.9999918842,0.0030404240,0.0022350296,0.0014114170,0.0001268065,-0.0000671805,-0.0003694345
1.5000000000,0.9999930720,-0.0001190703,0.0010427406,0.0035713433,0.0005095961,0.0000774171,-0.0006293112
1.5100000000,0.9999934278,-0.0013823366,0.0005927055,0.0032988315,0.0006624718,0.0001303687,-0.0005934964
1.5200000000,0.9999935834,-0.0019563180,0.0004912169,0.0029605165,0.0007318266,0.0001448169,-0.0005516788
1.5300000000,0.9999923782,-0.0015192517,0.0024125279,0.0026674073,0.0006784384,-0.0000869378,-0.0005146750
1.5400000000,0.9999935616,-0.0020854673,0.0010080385,0.0027407189,0.0007477845,0.0000814498,-0.0005207659
1.5500000000,0.9999919923,-0.0021381423,0.0015481035,0.0030078385,0.0007539542,0.0000173725,-0.0005526403
1.5600000000,0.9999936814,-0.0020085139,0.0014989520,0.0025211608,0.0007368429,0.0000253160,-0.0004920053
1.5700000000,0.9999956072,-0.0013755706,0.0021245691,0.0015426173,0.0006589380,-0.0000482624,-0.0003734997
1.5800000000,0.9999962624,-0.0015332177,0.0015168785,0.0016803104,0.0006768955,0.0000265046,-0.0003892230
1.5900000000,0.9999933508,-0.0021309844,0.0010857926,0.0027528623,0.0007470430,0.0000800967,-0.0005176341
1.6000000000,0.9999917726,-0.0007149575,0.0013742611,0.0037490044,0.0005766007,0.0000493250,-0.0006382921
1.6100000000,0.9999937113,0.0008171211,0.0020243300,0.0027949459,0.0003922817,-0.0000268746,-0.0005242498
1.6200000000,0.9999910009,0.0013848583,0.0024417336,0.0031809109,0.0003204231,-0.0000759608,-0.0005689285
1.6300000000,0.9999887788,0.0015508126,0.0025765433,0.0036604317,0.0002990001,-0.0000912901,-0.0006263290
